souche,replicat,condition,0h,6h,12h,24h
1218,1,YPD,1683,951,79,1440
1218,1,G418,405,157,4,72
1218,2,YPD,548,345,27,1743
1218,2,G418,147,54,5,83
1218,3,YPD,1449,777,89,1707
1218,3,G418,330,142,8,110
1068,1,YPD,1533,1100,164,1860
1068,1,G418,40,18,0,3
1068,2,YPD,1317,1125,142,1560
1068,2,G418,28,18,0,4
1068,3,YPD,1254,561,48,1563
1068,3,G418,187,80,5,70
1069,1,YPD,2064,1758,168,2145
1069,1,G418,52,24,1,8
1069,2,YPD,2040,1350,199,1926
1069,2,G418,43,17,2,4
1069,3,YPD,2130,1398,219,2016
1069,3,G418,43,13,0,1
1070,1,YPD,1812,1650,150,2310
1070,1,G418,440,317,29,194
1070,2,YPD,2115,1836,289,2559
1070,2,G418,702,455,36,253
1070,3,YPD,2300,2163,322,2451
1070,3,G418,680,548,53,263
